validdate;t_2m:C;precip_1h:mm;wind_speed_10m:ms;msl_pressure:hPa
2024-02-20T09:22:47Z;6.9;0.09;5.8;1023
2024-02-20T10:22:47Z;7.1;0.00;5.8;1023
2024-02-20T11:22:47Z;7.9;0.00;6.4;1023
2024-02-20T12:22:47Z;8.5;0.00;6.4;1023
2024-02-20T13:22:47Z;8.0;0.00;5.6;1023
2024-02-20T14:22:47Z;7.9;0.00;5.1;1023
2024-02-20T15:22:47Z;7.8;0.00;4.3;1023
2024-02-20T16:22:47Z;7.5;0.00;3.6;1023
2024-02-20T17:22:47Z;7.0;0.00;3.6;1023
2024-02-20T18:22:47Z;7.0;0.00;4.0;1023
2024-02-20T19:22:47Z;7.0;0.00;4.1;1023
2024-02-20T20:22:47Z;7.3;0.00;4.2;1023
2024-02-20T21:22:47Z;6.9;0.00;4.0;1022
2024-02-20T22:22:47Z;6.3;0.00;3.6;1022
2024-02-20T23:22:47Z;6.2;0.00;3.7;1022
2024-02-21T00:22:47Z;6.5;0.02;3.8;1021
2024-02-21T01:22:47Z;6.9;0.00;3.9;1020
2024-02-21T02:22:47Z;6.9;0.19;4.3;1020
2024-02-21T03:22:47Z;6.9;0.72;4.4;1019
2024-02-21T04:22:47Z;7.0;0.44;4.7;1018
2024-02-21T05:22:47Z;7.0;0.00;5.2;1018
2024-02-21T06:22:47Z;7.1;0.00;5.5;1018
2024-02-21T07:22:47Z;7.3;0.00;5.8;1017
2024-02-21T08:22:47Z;7.6;0.00;5.9;1017
2024-02-21T09:22:47Z;8.3;0.00;6.4;1017
